,GLD,IEF,QQQ,SPY,TLT,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
GLD,1.0,0.35014088382552255,0.05337835729181717,0.20736929527235748,0.12240343475286176,0.40450605574695486,0.16518989975128723,-0.06502848627738465,0.13066455829211387,0.11014654536144572,-0.15432705618955217,0.1173789091569276,0.08066728418242186,-0.21155456817130106,0.07267370721011655
IEF,0.35014088382552255,1.0,-0.03701020966981755,-0.013382059569751952,0.8690329769971108,-0.049262057550401625,0.03114941993145347,-0.055813481708267894,-0.16447895091979992,0.013790130779579437,-0.05159622308586506,0.21906103844240998,0.09391591657282647,-0.11462816828972094,0.2404773787548076
QQQ,0.05337835729181717,-0.03701020966981755,1.0,0.2889542102012581,0.044234784251650165,-0.22768569144397338,-0.44847959003062027,-0.3159241254897562,-0.047402690149344125,0.881792906373566,-0.591500233352288,-0.33631195461005603,-0.429805777006709,0.13254059193935216,0.15186327295819546
SPY,0.20736929527235748,-0.013382059569751952,0.2889542102012581,1.0,-0.16301797147282654,-0.09636888237854731,-0.047033411035406626,0.2855337844206148,0.1382195811274707,0.24663046935206057,-0.5524223581834409,0.15374655972468454,-0.3944417635647485,-0.2787922921389376,0.1855734990355513
TLT,0.12240343475286176,0.8690329769971108,0.044234784251650165,-0.16301797147282654,1.0,-0.10942446905183806,0.02670430914907131,-0.0723990671218643,-0.2045758342508681,0.07995430092819517,-0.0874676724689578,0.11034487928470166,0.01474250659790994,-0.03127213514853945,0.3154742737293916
XLB,0.40450605574695486,-0.049262057550401625,-0.22768569144397338,-0.09636888237854731,-0.10942446905183806,1.0,0.3244861217015549,0.059526880651986996,0.47371117607033086,-0.257285085832942,-0.038137469142360644,-0.04302647433167294,0.03145646905163291,-0.040085724715514824,0.21272245719538757
XLE,0.16518989975128723,0.03114941993145347,-0.44847959003062027,-0.047033411035406626,0.02670430914907131,0.3244861217015549,1.0,0.14065065643583322,0.18051380179943824,-0.44585299542105133,0.029235345482174956,-0.06058371913218347,-0.02754932923031156,-0.22928588816108056,-0.019469174158108133
XLF,-0.06502848627738465,-0.055813481708267894,-0.3159241254897562,0.2855337844206148,-0.0723990671218643,0.059526880651986996,0.14065065643583322,1.0,0.20070097419893126,-0.2672636296130458,-0.15008275590371548,0.1234809407911292,-0.22126119759369786,-0.20994263096220622,0.09316056115128744
XLI,0.13066455829211387,-0.16447895091979992,-0.047402690149344125,0.1382195811274707,-0.2045758342508681,0.47371117607033086,0.18051380179943824,0.20070097419893126,1.0,-0.09188781863963201,-0.16508680834973488,0.2072563660691468,-0.08380925356286091,0.12771319179871582,0.20885792263289973
XLK,0.11014654536144572,0.013790130779579437,0.881792906373566,0.24663046935206057,0.07995430092819517,-0.257285085832942,-0.44585299542105133,-0.2672636296130458,-0.09188781863963201,1.0,-0.6238389837006778,-0.23184745179296443,-0.42300267350576826,0.06193737936994295,0.18630141182792403
XLP,-0.15432705618955217,-0.05159622308586506,-0.591500233352288,-0.5524223581834409,-0.0874676724689578,-0.038137469142360644,0.029235345482174956,-0.15008275590371548,-0.16508680834973488,-0.6238389837006778,1.0,0.03587970840614704,0.6627908840167018,0.07656581155075262,-0.46107587798496114
XLRE,0.1173789091569276,0.21906103844240998,-0.33631195461005603,0.15374655972468454,0.11034487928470166,-0.04302647433167294,-0.06058371913218347,0.1234809407911292,0.2072563660691468,-0.23184745179296443,0.03587970840614704,1.0,0.367865955215878,0.13550684902211788,0.004120925741715419
XLU,0.08066728418242186,0.09391591657282647,-0.429805777006709,-0.3944417635647485,0.01474250659790994,0.03145646905163291,-0.02754932923031156,-0.22126119759369786,-0.08380925356286091,-0.42300267350576826,0.6627908840167018,0.367865955215878,1.0,0.05517165951959433,-0.3349478391850613
XLV,-0.21155456817130106,-0.11462816828972094,0.13254059193935216,-0.2787922921389376,-0.03127213514853945,-0.040085724715514824,-0.22928588816108056,-0.20994263096220622,0.12771319179871582,0.06193737936994295,0.07656581155075262,0.13550684902211788,0.05517165951959433,1.0,-0.1129748931662029
XLY,0.07267370721011655,0.2404773787548076,0.15186327295819546,0.1855734990355513,0.3154742737293916,0.21272245719538757,-0.019469174158108133,0.09316056115128744,0.20885792263289973,0.18630141182792403,-0.46107587798496114,0.004120925741715419,-0.3349478391850613,-0.1129748931662029,1.0
