,GLD,IEF,QQQ,SPY,TLT,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
GLD,164,164,164,164,164,164,164,164,164,164,164,72,164,164,164
IEF,164,183,183,183,183,183,183,183,183,183,183,72,183,183,183
QQQ,164,183,213,213,183,213,213,213,213,213,213,72,213,213,213
SPY,164,183,213,215,183,214,214,214,214,214,214,72,214,214,214
TLT,164,183,183,183,183,183,183,183,183,183,183,72,183,183,183
XLB,164,183,213,214,183,214,214,214,214,214,214,72,214,214,214
XLE,164,183,213,214,183,214,214,214,214,214,214,72,214,214,214
XLF,164,183,213,214,183,214,214,214,214,214,214,72,214,214,214
XLI,164,183,213,214,183,214,214,214,214,214,214,72,214,214,214
XLK,164,183,213,214,183,214,214,214,214,214,214,72,214,214,214
XLP,164,183,213,214,183,214,214,214,214,214,214,72,214,214,214
XLRE,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
XLU,164,183,213,214,183,214,214,214,214,214,214,72,214,214,214
XLV,164,183,213,214,183,214,214,214,214,214,214,72,214,214,214
XLY,164,183,213,214,183,214,214,214,214,214,214,72,214,214,214
