,PC1,PC2,PC3,PC4,PC5
GLD,-0.1654587887518324,0.09250918860891169,0.2565141915238743,0.48883790306764213,0.36422366107409654
IEF,-0.06571971727338444,0.27738783836538305,0.6004702434081972,-0.06588497128556157,0.06777121669314991
QQQ,0.05735135565362122,0.4819788480381563,-0.2874304408435,0.21983292441059082,-0.05835095744353516
SPY,-0.34845380314779584,-0.027241583538008898,-0.11612644838741415,-0.1309139977655976,0.5579019603453239
TLT,-0.03858600829793488,0.31706309968372537,0.5422661265859351,-0.15976361894342309,-0.18619497215911576
XLB,-0.22099098709466844,-0.14688086051742735,0.06103603858360557,0.57776043493478,-0.18146305316663813
XLE,-0.26552281125152116,-0.18897299745835758,0.13807159087152926,0.1685107685999629,-0.4632800304824704
XLF,-0.27550581949641717,-0.2948853647469281,0.05396346262013053,-0.35996024690349815,0.13629237153098503
XLI,-0.18877404796851466,-0.32449557567812354,0.011618202286613616,0.2886922730840297,-0.010353667228209868
XLK,0.021285199618966993,0.48080841319955026,-0.28257142642042343,0.15410182238167613,0.030229032166405836
XLP,0.4686456124081127,-0.1473073792047023,0.11621402212958168,0.06849205408812227,0.09211450732348443
XLU,0.3459410140003564,-0.0811459266976849,0.24180260666993753,0.20386311117431202,0.41390911950809095
XLV,0.4019756690369058,-0.12823495211411198,0.0661382927107369,-0.030944548567116193,-0.2349198761596291
XLY,-0.33149106499902736,0.2355392062326326,0.038085554861407175,-0.1401192283794964,-0.10617517652281831
