ticker,n,spec,window,dep,shock,cov_type,alpha,r2,beta,se,ci_low,ci_high,t,p
SPY,214,primary,d0_p1,car_raw,surprise_bps,HC1,0.13600911143354288,0.04097774258294107,-1.769816661181612,0.8201199691789908,-3.3772222637745335,-0.16241105858869098,-2.1579972780730454,0.030928043425144377
GLD,164,primary,d0_p1,car_raw,surprise_bps,HC1,0.1836615128315886,0.025446725934639036,-1.7456693270436825,0.8939704945450424,-3.4978192995934263,0.006480645506061478,-1.9527147010954593,0.05085341072129748
QQQ,212,primary,d0_p1,car_adj,surprise_bps,HC1,0.27097966046721284,0.04562789671182732,-1.520945816830754,0.9927546444222662,-3.466709165383263,0.42481753172175557,-1.532046035116631,0.12551107512484044
XLK,213,primary,d0_p1,car_adj,surprise_bps,HC1,0.22421082282960578,0.03736978549699388,-1.3146402792726046,0.998482322406116,-3.2716296703885024,0.6423491118432934,-1.316638512041575,0.18795982320945526
TLT,183,primary,d0_p1,car_raw,surprise_bps,HC1,0.2478779312588609,0.026160835510220082,-1.3141444542826946,0.7237930752790396,-2.7327528140891,0.10446390552371118,-1.8156355720536015,0.06942629315398582
IEF,183,primary,d0_p1,car_raw,surprise_bps,HC1,0.14235371919900625,0.08022998049781827,-1.0721059748213513,0.3119664759144807,-1.6835490319976154,-0.46066291764508677,-3.436606358675691,0.0005890510265268884
XLY,213,primary,d0_p1,car_adj,surprise_bps,HC1,0.13089958914849037,0.03846819279704894,-0.9528211489373066,0.4919427438870538,-1.917011209411744,0.011368911537130641,-1.9368537513301893,0.05276322321287576
XLB,213,primary,d0_p1,car_adj,surprise_bps,HC1,-0.036998666746416865,0.014585501509081111,-0.7776482627139425,0.5215087657425171,-1.799786661191212,0.24449013576332695,-1.4911508948593366,0.1359218826368668
XLF,213,primary,d0_p1,car_adj,surprise_bps,HC1,-0.09224402758214556,0.0021507813996004543,-0.29489707544224564,0.6584460500675549,-1.5854276193373102,0.9956334684528192,-0.44786824283020604,0.654248288789452
XLI,213,primary,d0_p1,car_adj,surprise_bps,HC1,0.0316095896210671,0.006544209051257854,-0.2898921309817388,0.260745063449395,-0.8009430644891643,0.22115880252568665,-1.1117837751049144,0.2662311295478249
XLV,213,primary,d0_p1,car_adj,surprise_bps,HC1,0.005364330212393784,0.007959017130826918,0.46314856670038224,0.47396549119477327,-0.4658067259562095,1.392103859356974,0.9771778226572493,0.3284811253286931
XLRE,72,primary,d0_p1,car_adj,surprise_bps,HC1,-0.18762944805616416,0.006325626706474963,0.6068581161493922,1.5811860452243913,-2.492209585347736,3.70592581764652,0.3837993119040404,0.701127198103793
XLU,213,primary,d0_p1,car_adj,surprise_bps,HC1,-0.21389351635397044,0.006975075372145811,0.6334194920023408,0.9573224623406538,-1.2428980557765428,2.5097370397812244,0.6616574006355496,0.5081908116001681
XLE,213,primary,d0_p1,car_adj,surprise_bps,HC1,-0.17009193467753192,0.011454847699353676,1.0598091799861475,0.992830953297766,-0.886103731214042,3.005722091186337,1.0674618639415987,0.2857633257192287
XLP,213,primary,d0_p1,car_adj,surprise_bps,HC1,-0.2001651631375252,0.026979048978489573,1.1296539356107482,0.9863056110274098,-0.8034695397527464,3.0627774109742427,1.145338648569601,0.2520689019598231
