ticker,n,spec,window,dep,shock,cov_type,alpha,r2,beta,se,ci_low,ci_high,t,p
TLT,183,primary,m5_p5,car_raw,surprise_bps,HC1,0.2585264190616967,0.1048504152985057,-4.3730222496251345,1.168228588672771,-6.662708209133822,-2.0833362901164465,-3.7432933006658757,0.00018162401630272487
QQQ,212,primary,m5_p5,car_adj,surprise_bps,HC1,0.06328796232606484,0.05477150509362927,-3.088585804463685,1.2512650674472503,-5.5410202717733785,-0.6361513371539926,-2.468370519417454,0.013572974614904776
GLD,164,primary,m5_p5,car_raw,surprise_bps,HC1,0.05628871128082463,0.02588435696206448,-3.039129553569277,1.9736804792878144,-6.907472209963146,0.8292131028245917,-1.5398285515120058,0.12360215037990473
XLK,213,primary,m5_p5,car_adj,surprise_bps,HC1,0.20552446092793136,0.05269791184993067,-2.674496549046965,1.152053211660475,-4.932479352175196,-0.4165137459187347,-2.321504355855374,0.020259639281406137
IEF,183,primary,m5_p5,car_raw,surprise_bps,HC1,0.2125616264532601,0.1282467019373007,-2.3148098363271545,0.5492213406922954,-3.3912638836248563,-1.2383557890294528,-4.214712111166927,2.5009700633406243e-05
SPY,214,primary,m5_p5,car_raw,surprise_bps,HC1,0.13621471948587274,0.002361576130098575,-0.9271581801891973,2.501308891166909,-5.829633521086156,3.975317160707762,-0.3706692058159438,0.710883929158028
XLY,213,primary,m5_p5,car_adj,surprise_bps,HC1,-0.03542300131671319,0.001718920318682371,-0.4024914250272485,0.8300834011118639,-2.029424995371017,1.2244421453165202,-0.48488070534614613,0.6277609698248354
XLV,213,primary,m5_p5,car_adj,surprise_bps,HC1,0.11915538807283142,0.00016117343547539242,0.1175913733768001,0.9406086043266162,-1.7259676146518539,1.9611503614054542,0.12501626376359168,0.9005106747317404
XLI,213,primary,m5_p5,car_adj,surprise_bps,HC1,-0.005268703702631147,0.0038977974421194883,0.5085177815836976,0.9317956178217162,-1.3177680702991146,2.33480363346651,0.5457396148443727,0.5852449368184993
XLB,213,primary,m5_p5,car_adj,surprise_bps,HC1,-0.16032938222132764,0.002829630073559297,0.6499209535838579,0.8936046277166962,-1.1015119331591898,2.4013538403269057,0.7273025826248356,0.4670406163850698
XLRE,72,primary,m5_p5,car_adj,surprise_bps,HC1,-0.8435045112457047,0.00410535720104066,1.0328434685206465,3.431982607931898,-5.693718838593722,7.759405775635014,0.30094659166790905,0.7634552211846217
XLF,213,primary,m5_p5,car_adj,surprise_bps,HC1,-0.1339002629957401,0.011431460920505954,1.3050644433084764,1.2411081725504522,-1.127462875808733,3.737591762425686,1.0515315845729991,0.2930145110514515
XLU,213,primary,m5_p5,car_adj,surprise_bps,HC1,-0.07302486500751473,0.016233337647970303,1.6483699658572062,1.0888746813948798,-0.485785193354284,3.782525125068696,1.5138289043010873,0.1300692396537169
XLP,213,primary,m5_p5,car_adj,surprise_bps,HC1,0.04213002261541593,0.01960073818529784,1.6620610020763218,1.094038956944998,-0.482215951219641,3.8063379553722845,1.5191972749466551,0.12871284705159736
XLE,213,primary,m5_p5,car_adj,surprise_bps,HC1,-0.3317624541592824,0.017856333478621034,2.884228851123109,2.5034430908366154,-2.022429444262292,7.79088714650851,1.1521048198300528,0.2492780027883965
SPY,202,primary,m5_p5,car_raw,surprise_orth_bps,HC1,0.3145800165759819,0.09273537642730822,-5.598429214912473,1.5965656740453174,-8.72764043499421,-2.4692179948307356,-3.5065448956618153,0.00045396484731395604
TLT,171,primary,m5_p5,car_raw,surprise_orth_bps,HC1,0.234705067259824,0.06354230452822185,-3.690016694975072,1.1134509437062203,-5.8723404431913995,-1.507692946758745,-3.314036164622147,0.000919596124218415
GLD,152,primary,m5_p5,car_raw,surprise_orth_bps,HC1,0.06659527730800974,0.02736797877081354,-3.5438656704284908,2.3750062096167404,-8.198792304336289,1.1110609634793065,-1.4921500651572492,0.13565980956803225
XLRE,60,primary,m5_p5,car_adj,surprise_orth_bps,HC1,-0.35377920643321725,0.03323398902899921,-3.293386530066831,2.491732745180896,-8.177092969720507,1.5903199095868445,-1.3217254283937006,0.18625959797617364
QQQ,200,primary,m5_p5,car_adj,surprise_orth_bps,HC1,0.0205034768664306,0.030374521715028302,-2.5908295481016212,1.4373678102063112,-5.408018688643195,0.22635959243995293,-1.8024819602226578,0.07146961043705903
XLK,201,primary,m5_p5,car_adj,surprise_orth_bps,HC1,0.14207575348336743,0.03605840903027202,-2.499720993757977,1.3848025013215979,-5.21388402204929,0.21444203453333532,-1.8051101087500545,0.07105745352793742
IEF,171,primary,m5_p5,car_raw,surprise_orth_bps,HC1,0.20857284283556593,0.07609639621712938,-1.9684946103190963,0.543315948058327,-3.0333743007396516,-0.903614919898541,-3.623112145619866,0.0002910795432772307
XLE,201,primary,m5_p5,car_adj,surprise_orth_bps,HC1,-0.035593801854357954,0.0017819439460128317,-0.8461469432592686,1.443683459166627,-3.67571452830206,1.983420641783522,-0.5861028176825624,0.5578064229171324
XLI,201,primary,m5_p5,car_adj,surprise_orth_bps,HC1,0.06523174874085814,0.004820371428172154,-0.5776382970162152,0.6018611665966478,-1.7572645072389066,0.6019879132064759,-0.9597533934322329,0.33717934391964144
XLY,201,primary,m5_p5,car_adj,surprise_orth_bps,HC1,-0.025077345404201083,0.0010947779331553775,-0.3684361446075852,1.0078953810672395,-2.3438747916836484,1.6070025024684778,-0.3655499881520003,0.7147008994591775
XLF,201,primary,m5_p5,car_adj,surprise_orth_bps,HC1,-0.02452905771138611,9.81988455406313e-06,0.04160913332976108,1.0044404318562525,-1.927057937724352,2.0102762043838744,0.04142518760705946,0.9669569332214928
XLB,201,primary,m5_p5,car_adj,surprise_orth_bps,HC1,-0.16066451306778112,0.0011139195086538045,0.46654211239990145,1.1117573965458256,-1.712462344375932,2.645546569175735,0.4196438124445354,0.6747456771919969
XLV,201,primary,m5_p5,car_adj,surprise_orth_bps,HC1,0.10226924331108202,0.008661592784118155,0.9624960539272694,0.9173453845848464,-0.8354678612430743,2.7604599690976133,1.0492188330601961,0.294077412705275
XLU,201,primary,m5_p5,car_adj,surprise_orth_bps,HC1,0.029139480502652873,0.010532257038838977,1.4312275407265533,0.9008539274404275,-0.33441371238814366,3.1968687938412503,1.5887454082517711,0.11211788274779852
