ticker,n,spec,window,dep,shock,cov_type,alpha,r2,beta,se,ci_low,ci_high,t,p,sample,dep_mode
TLT,183,baseline,m5_p5,car_raw,surprise_bps,HC1,0.2585264190616967,0.1048504152985057,-4.3730222496251345,1.168228588672771,-6.662708209133822,-2.0833362901164465,-3.7432933006658757,0.00018162401630272487,baseline,auto
QQQ,212,baseline,m5_p5,car_adj,surprise_bps,HC1,0.06328796232606484,0.05477150509362927,-3.088585804463685,1.2512650674472503,-5.5410202717733785,-0.6361513371539926,-2.468370519417454,0.013572974614904776,baseline,auto
GLD,164,baseline,m5_p5,car_raw,surprise_bps,HC1,0.05628871128082463,0.02588435696206448,-3.039129553569277,1.9736804792878144,-6.907472209963146,0.8292131028245917,-1.5398285515120058,0.12360215037990473,baseline,auto
XLK,213,baseline,m5_p5,car_adj,surprise_bps,HC1,0.20552446092793136,0.05269791184993067,-2.674496549046965,1.152053211660475,-4.932479352175196,-0.4165137459187347,-2.321504355855374,0.020259639281406137,baseline,auto
IEF,183,baseline,m5_p5,car_raw,surprise_bps,HC1,0.2125616264532601,0.1282467019373007,-2.3148098363271545,0.5492213406922954,-3.3912638836248563,-1.2383557890294528,-4.214712111166927,2.5009700633406243e-05,baseline,auto
SPY,214,baseline,m5_p5,car_raw,surprise_bps,HC1,0.13621471948587274,0.002361576130098575,-0.9271581801891973,2.501308891166909,-5.829633521086156,3.975317160707762,-0.3706692058159438,0.710883929158028,baseline,auto
XLY,213,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.03542300131671319,0.001718920318682371,-0.4024914250272485,0.8300834011118639,-2.029424995371017,1.2244421453165202,-0.48488070534614613,0.6277609698248354,baseline,auto
XLV,213,baseline,m5_p5,car_adj,surprise_bps,HC1,0.11915538807283142,0.00016117343547539242,0.1175913733768001,0.9406086043266162,-1.7259676146518539,1.9611503614054542,0.12501626376359168,0.9005106747317404,baseline,auto
XLI,213,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.005268703702631147,0.0038977974421194883,0.5085177815836976,0.9317956178217162,-1.3177680702991146,2.33480363346651,0.5457396148443727,0.5852449368184993,baseline,auto
XLB,213,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.16032938222132764,0.002829630073559297,0.6499209535838579,0.8936046277166962,-1.1015119331591898,2.4013538403269057,0.7273025826248356,0.4670406163850698,baseline,auto
