ticker,window,shock,wild_bootstrap_p,n
GLD,d0_p1,surprise_bps,0.07896051974012994,164
IEF,d0_p1,surprise_bps,0.0029985007496251873,183
QQQ,d0_p1,surprise_bps,0.18440779610194902,213
SPY,d0_p1,surprise_bps,0.07646176911544228,215
TLT,d0_p1,surprise_bps,0.10394802598700649,183
XLB,d0_p1,surprise_bps,0.17991004497751126,214
XLE,d0_p1,surprise_bps,0.3498250874562719,214
XLF,d0_p1,surprise_bps,0.7246376811594203,214
XLI,d0_p1,surprise_bps,0.27936031984008,214
XLK,d0_p1,surprise_bps,0.31584207896051975,214
XLP,d0_p1,surprise_bps,0.27586206896551724,214
XLRE,d0_p1,surprise_bps,0.8070964517741129,72
XLU,d0_p1,surprise_bps,0.5537231384307846,214
XLV,d0_p1,surprise_bps,0.351824087956022,214
XLY,d0_p1,surprise_bps,0.06746626686656672,214
